Region,Issuer,#,Name,Rank,Life1,Life2,Life3,Requires,DLC
Al Maajik Spelltown,Khubz,1,"Rainbow Hunter",,,,,,
Al Maajik Spelltown,Khubz,2,"Rising Rainbow",,,,,,
Al Maajik Spelltown,Khubz,3,"Over the Rainbow",,,,,,
Al Maajik Spelltown,Akim,1,"Akim's Kitchen Warfare",,,,,,
Al Maajik Spelltown,Akim,2,"Akim's Food Fight",,,,,,
Al Maajik Spelltown,Akim,3,"Akim's Last Stand",,,,,,
Al Maajik Spelltown,Akim,4,"A Golden Opportunity",,,,,{origin_island_access()},DLC
Al Maajik Spelltown,Libby,1,"Ornately Ornate",Fledgling,Angler,,,{has_license(Fledgling Angler)},
Al Maajik Spelltown,Libby,2,"Shiver Me Flounders!",Adept,Angler,,,{has_license(Adept Angler)},
Al Maajik Spelltown,Libby,3,"Sandy Seas",Expert,Angler,,,{has_license(Expert Angler)},
Al Maajik Spelltown,Libby,4,"Fishy Research",Master,Angler,,,{has_license(Master Angler)} and {trials_access()},DLC
Dark Sultan's Fortress,Ruck,1,"Dress to Impress",Expert,Tailor,,,{has_license(Expert Tailor)},
Dark Sultan's Fortress,Ruck,2,"Signs of a True Gentleman",Expert,Tailor,,,{has_license(Expert Tailor)},
Dark Sultan's Fortress,Ruck,3,"New Look, New Life!",Expert,Tailor,,,{has_license(Expert Tailor)},
Aridian Desert,Rudy,1,"Mummy's the Word",,,,,{can_fight()},
Aridian Desert,Rudy,2,"Bringing Down the Bats",,,,,{can_fight()},
Aridian Desert,Rudy,3,"The Failed Adventurer",,,,,{can_fight()},
Aridian Desert,Abahkus,1,"The Desert Merchant 1",,,,,{elderwood_village_access()},
Aridian Desert,Abahkus,2,"The Desert Merchant 2",Master,Miner,,,{elderwood_village_access()} and {has_license(Master Miner)},
Aridian Desert,Abahkus,3,"The Desert Merchant 3",Master,Miner,,,{terra_nimbus_access()} and {has_license(Master Miner)},
Aridian Desert,Abahkus,4,"The Desert Merchant 4",Master,Miner,Woodcutter,,{origin_island_access()} and {has_license(Master Miner)} and {has_license(Master Woodcutter)},DLC
Elderwood Village,Leif,1,"Raingear Tree",,,,,,
Elderwood Village,Leif,2,"Sea-Breeze-Scented Tree",,,,,,
Elderwood Village,Leif,3,"Blooming with Joy",,,,,{better_castele_shopping()},
Elderwood Village,Leif,4,"Lovely Little Weeds",,,,,{better_castele_shopping()} and {origin_island_access()},DLC
Plushling Camp,Kevin,1,"Delicious Dandelion Puff",,,,,,
Plushling Camp,Kevin,2,"Scrumptious Sunny Puff",,,,,,
Plushling Camp,Kevin,3,"Appetizing Angelic Puff",,,,,,
Plushling Camp,Kevin,4,"Detectable Divine Puff",,,,,{origin_island_access()},DLC
Central Grassland,Achilles,1,"Floaty Fears",,,,,{can_fight()},DLC
Central Grassland,Achilles,2,"Super Floaty Fears",,,,,{can_fight()},DLC
Central Grassland,Achilles,3,"Mega Floaty Fears",,,,,{can_fight()},DLC
Central Grassland,Daphne,1,"Paladin Maniac",Creator,Tailor,,,{has_license(Creator Tailor)},DLC
Central Grassland,Daphne,2,"Knight in Colorful Armor",Creator,Tailor,,,{has_license(Creator Tailor)},DLC
Central Grassland,Daphne,3,"Gear for a Goddess",Creator,Tailor,,,{has_license(Creator Tailor)},DLC
Central Grassland,Sally,1,"Home, Sweet Marshmall-Home",,,,,,DLC
Central Grassland,Sally,2,"Giga Giga Girl",Master,Woodcutter,,,{has_license(Master Woodcutter)},DLC
Central Grassland,Sally,3,"Beetle Buddies",Master,Woodcutter,,,{has_license(Master Woodcutter)},DLC
Central Grassland,Napollon,1,"A Lovers' Tale",Master,Miner,,,{has_license(Master Miner)},DLC
Central Grassland,Napollon,2,"A Lovers' Tale",Master,Miner,,,{has_license(Master Miner)},DLC
Central Grassland,Napollon,3,"A Lovers' Tale",Master,Miner,,,{has_license(Master Miner)},DLC
Central Grassland,Mallow,1,"Like Divine Bees to Honey",,,,,,DLC
Central Grassland,Mallow,2,"Fashion and Fruit",,,,,,DLC
Central Grassland,Mallow,3,"Of Boughs and Blades",Master,Woodcutter,,,{has_license(Master Woodcutter)},DLC
Central Grassland,Mana,1,"Claws for Thought",,,,,,DLC
Central Grassland,Mana,2,"Spe-shell Delivery",,,,,,DLC
Central Grassland,Mana,3,"Shelltacular!",,,,,,DLC
Forest Shrine,Homeros,1,"Tribal Investigations",,,,,{can_fight()},DLC
Forest Shrine,Homeros,2,"Strongtaur Studies",,,,,{can_fight()},DLC
Forest Shrine,Homeros,3,"Shadowy Survey",,,,,{can_fight()} and {trials_access()},DLC
Forest Shrine,Gladys,1,"Hip 'n' Healthy",Creator,Tailor,,,{has_license(Creator Tailor)},DLC
Forest Shrine,Gladys,2,"Heavenly Health",Creator,Tailor,Alchemist,,{has_license(Creator Tailor)} and {has_license(Creator Alchemist)},DLC
Forest Shrine,Gladys,3,"Hard-Boiled Health",Creator,Cook,Tailor,Alchemist,{has_license(Creator Tailor)} and {has_license(Creator Alchemist)} and {has_license(Creator Cook)},DLC
Forest Shrine,Tate,1,"Mushroom Munchkin",,,,,,DLC
Forest Shrine,Tate,2,"Truffle Taster",,,,,,DLC
Forest Shrine,Tate,3,"Bring Home the Broccoil",,,,,,DLC
Penguin Beach,Sandor,1,"Fishy Kisses",Expert,Angler,,,{has_license(Expert Angler)},DLC
Penguin Beach,Sandor,2,"Fishy Rainbows",Expert,Angler,,,{has_license(Expert Angler)},DLC
Penguin Beach,Sandor,3,"Fishy Love",Expert,Angler,,,{has_license(Expert Angler)},DLC
Penguin Beach,Furkley,1,"The Solitary Gigaga Gourmet",Creator,Cook,,,{has_license(Creator Cook)},DLC
Penguin Beach,Furkley,2,"Fishy Giga Gourmet",Creator,Cook,,,{has_license(Creator Cook)},DLC
Penguin Beach,Furkley,3,"Sashimi Giga Gourmet",Creator,Cook,,,{has_license(Creator Cook)},DLC
Penguin Beach,Furcasso,1,"Furlassso's Humble Beginnings",,,,,,DLC
Penguin Beach,Furcasso,2,"Furlassso in Love",,,,,,DLC
Penguin Beach,Furcasso,3,"Furlassso Finds His Muse",,,,,{trials_access()},DLC
Penguin Beach,Fauna,1,"New Thread",,,,,,DLC
Penguin Beach,Fauna,2,"Sewing with Confidence",,,,,{trials_access()},DLC
Penguin Beach,Fauna,3,"Reverian Inspiration",Expert,Tailor,,,{trials_access()} and {has_license(Expert Tailor)},DLC
Rocky Hill Shrine,Orion,1,"Mighty Helm, Miniature Hero",,,,,,DLC
Rocky Hill Shrine,Orion,2,"Sturdy Shield, Scrawny Soldier",,,,,{trials_access()},DLC
Rocky Hill Shrine,Orion,3,"Biting Sword, Bite-size Knight",Hero,Blacksmith,,,{trials_access()} and {has_license(Hero Blacksmith)},DLC
Rocky Hill Shrine,Maeryn,1,"From a Lady to a Lord 1",Creator,Tailor,,,{has_license(Creator Tailor)},DLC
Rocky Hill Shrine,Maeryn,2,"From a Lady to a Lord 2",Creator,Carpenter,Tailor,,{has_license(Creator Tailor)} and {has_license(Creator Carpenter)},DLC
Rocky Hill Shrine,Maeryn,3,"From a Lady to a Lord 3",Creator,Carpenter,Tailor,,{has_license(Creator Tailor)} and {has_license(Creator Carpenter)},DLC
Rocky Hill Shrine,Sir Loin,1,"Wild-Beast Meat for Breakfast",,,,,,DLC
Rocky Hill Shrine,Sir Loin,2,"Giant-Beast Meat for Lunch",,,,,,DLC
Rocky Hill Shrine,Sir Loin,3,"Dragon Meat for Dinner",,,,,,DLC
