Region,Source,Bounty,Item,Rarity,Tags,Special Request,DLC,Notes
Ancient Ruins,Calamitus,Calamitus Bounty,6900 Dosh,,,,,
Ancient Ruins,Gigante,Gigante Bounty,Giant Tail,95%,,,,
Ancient Ruins,Gigante,Gigante Bounty,Adventurer's Sword,5%,,,,
Ancient Ruins,Gigante,Gigante Bounty,8000 Dosh,,,,,
Ancient Ruins,Golden Dragon,Golden Dragon Bounty,Giant Scale,95%,,,,
Ancient Ruins,Golden Dragon,Golden Dragon Bounty,Dragon's Tail,5%,,,,
Ancient Ruins,Golden Dragon,Golden Dragon Bounty,7700 Dosh,,,,,
Cacto Cove,Cacto Green,,Cactus,30%,,,,
Cacto Cove,Flowering Cacto,,Pink Cactus,30%,,,,
Cacto Cove,Lovely Jelling,,Pink Gel,30%,Uncommon Spawn,,,
Cacto Cove,Starry Catterpillo,,Starry Thread,30%,Night Only,,,
Cacto Cove,Starry Catterpillo,,Star Cluster,30%,Night Only,,,
Cave of Shadows,Spirit of Darkness,,M. Def. Upgrade Stone,15%,,,,
Dark Void,Shadow Wolf,,,,,,,
Dark Void,Boss Shadow Wolf,,,,,,,
Dark Void,Shadow Shark,,,,,,,
Dark Void,Darkmon,,Curious Object,30%,,,,
Dark Void,Shadow Baby Dragon,,,,,,,
Dark Void,Shadow Bigbeak,,Curious Object,20%,,,,
Dark Void,Shadow Bigbeak,,Unknown Life Form,10%,,,,
Dark Void,Shadow Dragon,,Curious Object,20%,,,,
Dark Void,Shadow Dragon,,Unknown Life Form,10%,,,,
Dark Void,Shadowsaurus,,Curious Object,30%,,,,
Dark Void,Shadowsaurus,,Unknown Life Form,5%,,,,
Dark Void,Shadow Bigbeak,Shadow Bigbeak Bounty,Curious Object,60%,,,,
Dark Void,Shadow Bigbeak,Shadow Bigbeak Bounty,Unknown Life Form,35%,,,,
Dark Void,Shadow Bigbeak,Shadow Bigbeak Bounty,Foreign Frying Pan,5%,,,,
Dark Void,Shadow Bigbeak,Shadow Bigbeak Bounty,8000 Dosh,,,,,
Dark Void,Shadow Dragon,Shadow Dragon Bounty,Curious Object,60%,,,,
Dark Void,Shadow Dragon,Shadow Dragon Bounty,Unknown Life Form,35%,,,,
Dark Void,Shadow Dragon,Shadow Dragon Bounty,Inferno Armour,5%,,,,
Dark Void,Shadow Dragon,Shadow Dragon Bounty,10000 Dosh,,,,,
Dark Void,Shadowsaurus,Shadowsaurus Bounty,Curious Object,60%,,,,
Dark Void,Shadowsaurus,Shadowsaurus Bounty,Unknown Life Form,35%,,,,
Dark Void,Shadowsaurus,Shadowsaurus Bounty,Inferno Helm,5%,,,,
Dark Void,Shadowsaurus,Shadowsaurus Bounty,9000 Dosh,,,,,
Deep Elderwood,Sharp Weedling,,,,,,,
Deep Elderwood,Burrly Bramble,,Duffle,30%,,,,
Deep Elderwood,Burrly Bramble,,Truffle,5%,,,,
Deep Elderwood,Eyes of Darkness,,Snow-White Feather,30%,Night Only,,,
Deep Elderwood,Eyes of Darkness,,Moon Cluster,15%,Night Only,,,
Deep Elderwood,Forest Wraith,,Giant Fang,30%,,,,
Deep Elderwood,Killer Bear,,Plateau Honey,30%,,,,
Deep Elderwood,Killer Bear,,Monster Hide,30%,,,,
Deep Elderwood,Pumpkin Ghoul,,Pumpkin,30%,,Magician,DLC,
Deep Elderwood,Pumpkin Ghoul,,Pumpkin Buttons,10%,,Magician,DLC,
Deep Elderwood,Pumpcactin,,Pumpkin,30%,,Magician,DLC,
Deep Elderwood,Pumpcactin,,Pumpkin Buttons,10%,,Magician,DLC,
Deep Elderwood,Pumpking,,Pumpkin,30%,,Magician,DLC,
Deep Elderwood,Pumpking,,Giant Fang,20%,,Magician,DLC,
Deep Elderwood,Eyes of Darkness,Eyes of Darkness Bounty,Snow-White Feather,90%,Night Only,,,
Deep Elderwood,Eyes of Darkness,Eyes of Darkness Bounty,Black-Rimmed Glasses,10%,Night Only,,,
Deep Elderwood,Eyes of Darkness,Eyes of Darkness Bounty,1500 Dosh,,Night Only,,,
Deep Elderwood,Forest Wraith,Forest Wraith Bounty,Key Cutter,60%,,,,
Deep Elderwood,Forest Wraith,Forest Wraith Bounty,Giant Fang,35%,,,,
Deep Elderwood,Forest Wraith,Forest Wraith Bounty,Forest Wardrobe,5%,,,,
Deep Elderwood,Forest Wraith,Forest Wraith Bounty,5000 Dosh,,,,,
Deep Elderwood,Killer Bear,Killer Bear Bounty,Plateau Honey,90%,,,,
Deep Elderwood,Killer Bear,Killer Bear Bounty,Forest Lordfish,10%,,,,
Deep Elderwood,Killer Bear,Killer Bear Bounty,1800 Dosh,,,,,
Deep Elderwood,Pumpking,Pumpking Bounty,Magic Power Orb,100%,,Magician,DLC,
Deep Elderwood,Pumpking,Pumpking Bounty,30000 Dosh,,,Magician,DLC,
East Levitania,Pandamonium Island,,Honey,30%,,,,
East Levitania,Pandamonium Island,,Diamond,5%,,,,
East Levitania,Mantis,,,,,,,
East Levitania,Flower Mantis,,,,Uncommon Spawn,,,"It usually appears in the place of any Mantis enemy, and is easily recognisable because it is pink instead of the usual green."
East Levitania,Chimera,,Giant Tail,30%,,,,
East Levitania,Chimera,,Monster Meat,20%,,,,
East Levitania,Cloudy Spirit,,Cloud Cashmere,10%,Tailor Special Request,Tailor,DLC,
East Levitania,Cottonne Pastel,,Cotton,100%,,Tailor,DLC,
East Levitania,Chimera,Chimera Bounty,Giant Tail,95%,,,,
East Levitania,Chimera,Chimera Bounty,Flamberge,5%,,,,
East Levitania,Chimera,Chimera Bounty,6500 Dosh,,,,,
Central Levitania,Trihorn,,,,,,,
Central Levitania,Terror Weedling,,,,,,,
Central Levitania,Violent Violet,,,,,,,
Central Levitania,Brutal Blossom,,,,,,,
Central Levitania,Mothoon,,,,,,,
Central Levitania,Spirit of Light,,Energising Stone,15%,,,,
Central Levitania,Lightning Wraith,,Energising Stone,30%,,,,
Central Levitania,Lightning Wraith,,Light Mana,20%,,,,
Central Levitania,Lightning Wraith,Lightning Wraith Bounty,Energising Stone,45%,,,,
Central Levitania,Lightning Wraith,Lightning Wraith Bounty,Light Mana,50%,,,,
Central Levitania,Lightning Wraith,Lightning Wraith Bounty,Purrfection Staff,5%,,,,
Central Levitania,Lightning Wraith,Lightning Wraith Bounty,8800 Dosh,,,,,
West Levitania,Bunny Killer,,Monster Hide,30%,,,,
West Levitania,Banana King,,Jungle Banana,30%,,,,
West Levitania,Dinky Dragon,,Star Cluster,20%,,,,
West Levitania,Ferociousaurus,,Giant Horn,20%,,,,
West Levitania,Ferociousaurus,,Dino Meat,20%,,,,
West Levitania,Silver Dragon,,Giant Scale,30%,,,,
West Levitania,Silver Dragon,,Dragon Meat,20%,,,,
West Levitania,Ferociousaurus,Ferociousaurus Bounty,Giant Horn,95%,,,,
West Levitania,Ferociousaurus,Ferociousaurus Bounty,Ancient Saw,5%,,,,
West Levitania,Ferociousaurus,Ferociousaurus Bounty,6000 Dosh,,,,,
West Levitania,Silver Dragon,Silver Dragon Bounty,Giant Scale,95%,,,,
West Levitania,Silver Dragon,Silver Dragon Bounty,Wyvern's Breath,5%,,,,
West Levitania,Silver Dragon,Silver Dragon Bounty,6600 Dosh,,,,,
Central Grassland,Angelic Bunny,,Golden Droppings,30%,,,DLC,
Central Grassland,Elder Horn,,Sparkling Goat Fleece,30%,,,DLC,
Central Grassland,Sagely Carroty,,Hermit Carrot,30%,,,DLC,
Central Grassland,Whisker Worm,,Rainbow Thread,30%,,,DLC,
Central Grassland,Godbee,,Remote Island Honey,30%,,,DLC,
Central Grassland,Bowtaur,,Vile Claws,30%,,,DLC,
Central Grassland,Stone Giant,,Ancient Flower,30%,,,DLC,
Central Grassland,Stone Giant,,Ancient Stone,10%,,,DLC,
Central Grassland,Sagely Carrotella,,Heavenly Asparagus,100%,,,DLC,
Central Grassland,Rainbow Spirit,,Rainbow Mana,30%,Day Only,,DLC,
Central Grassland,Rainbow Wraith,,Rainbow Mana +,30%,Day Only,,DLC,
Central Grassland,Rainbow Wraith,,Element Zero,5%,Day Only,,DLC,
Central Grassland,Dark Wisp,,Spiritual Powder,30%,Night Only,,DLC,
Central Grassland,Darkzine,,Spiritual Powder,30%,Night Only,,DLC,
Central Grassland,Darkzine,,Shadow Mana,10%,Night Only,,DLC,
Central Grassland,Sagely Carrotella,Sagely Carrotella Bounty,Golden Apple,100%,,,DLC,
Central Grassland,Sagely Carrotella,Sagely Carrotella Bounty,2000 Dosh,,,,DLC,
Central Grassland,Rainbow Wraith,Rainbow Wraith Bounty,Element Zero,100%,Day Only,,DLC,
Central Grassland,Rainbow Wraith,Rainbow Wraith Bounty,10000 Dosh,,Day Only,,DLC,
Central Grassland,Darkzine,Darkzine Bounty,Other-Worldly Powder,100%,Night Only,,DLC,
Central Grassland,Darkzine,Darkzine Bounty,2800 Dosh,,Night Only,,DLC,
Forest Shrine,Hot Spring Jelling,,White Gel,30%,,,DLC,
Forest Shrine,Hot Spring Jelling,,Marshmallow Nuts,5%,,,DLC,
Forest Shrine,Hot Spring Jelling,,Wasabi,5%,,,DLC,
Forest Shrine,Wind Wisp,,Wind Mana +,20%,,,DLC,
Forest Shrine,Tribal Tyke,,Hot Spring Water,30%,,,DLC,
Forest Shrine,Tribal Tyke,,Divine Pods,10%,,,DLC,
Forest Shrine,Tribal Tyke,,Divine Buttons,10%,,,DLC,
Forest Shrine,Ancient Dragon,,Divine Beast Skin,30%,,,DLC,
Forest Shrine,Ancient Dragon,,Ancient Dragon's Scale,20%,,,DLC,
Forest Shrine,Strongtaur,,Cruel Fang,30%,,,DLC,
Forest Shrine,Strongtaur,,Exquisite Feather,20%,,,DLC,
Forest Shrine,Gustine,,Wind Mana +,20%,Night Only,,DLC,
Forest Shrine,Gustine,,Light Mana,5%,Night Only,,DLC,
Forest Shrine,Ancient Dragon,Ancient Dragon Bounty,Ancient Dragon's Scale,100%,,,DLC,
Forest Shrine,Ancient Dragon,Ancient Dragon Bounty,15000 Dosh,,,,DLC,
Forest Shrine,Strongtaur,Strongtaur Bounty,Exquisite Feather,100%,,,DLC,
Forest Shrine,Strongtaur,Strongtaur Bounty,3000 Dosh,,,,DLC,
Forest Shrine,Gustine,Gustine Bounty,Other-Worldly Powder,100%,Night Only,,DLC,
Forest Shrine,Gustine,Gustine Bounty,2800 Dosh,,Night Only,,DLC,
Penguin Beach,Penguin Groom,,Ancient Seashell,30%,,,DLC,
Penguin Beach,Penguin Groom,,Penguin Eggs,5%,,,DLC,
Penguin Beach,Penguin Bride,,Ancient Seashell,30%,,,DLC,
Penguin Beach,Marinetaur,,Sack of Treasure,10%,,,DLC,
Penguin Beach,Marinetaur,,Sack of Secret Treasure,5%,,,DLC,
Penguin Beach,Sea Horse,,Gigaga Water,30%,,,DLC,
Penguin Beach,Sea Horse,,Ancient Coral,20%,,,DLC,
Penguin Beach,Island Crab,,Crab Shell,30%,,,DLC,
Penguin Beach,Giant Crab,,Black Crab Shell,30%,,,DLC,
Penguin Beach,Heaven Bird,,Divine Bird's Feather,30%,,,DLC,
Penguin Beach,Heaven Bird,,Golden Egg,10%,,,DLC,
Penguin Beach,Sea Mare,,Ancient Coral,30%,,,DLC,
Penguin Beach,Sea Mare,,Divine Ribbon,20%,,,DLC,
Penguin Beach,Aqua Wisp,,Water Mana +,20%,Night Only,,DLC,
Penguin Beach,Aquazine,,Water Mana +,20%,Night Only,,DLC,
Penguin Beach,Aquazine,,Light Mana,5%,Night Only,,DLC,
Penguin Beach,Giant Crab,Giant Crab Bounty,Black Crab Shell,100%,,,DLC,
Penguin Beach,Giant Crab,Giant Crab Bounty,3000 Dosh,,,,DLC,
Penguin Beach,Sea Mare,Sea Mare Bounty,Divine Ribbon,100%,,,DLC,
Penguin Beach,Sea Mare,Sea Mare Bounty,2500 Dosh,,,,DLC,
Penguin Beach,Aquazine,Aquazine Bounty,Other-Worldly Powder,100%,Night Only,,DLC,
Penguin Beach,Aquazine,Aquazine Bounty,2800 Dosh,,Night Only,,DLC,
Penguin Beach,Heaven Bird,Heaven Bird Bounty,Divine Bird's Feather,100%,,,DLC,
Penguin Beach,Heaven Bird,Heaven Bird Bounty,12000 Dosh,,,,DLC,
Rocky Hill Shrine,Leafysaurus,,Ancient Tail,30%,,,DLC,
Rocky Hill Shrine,Greywing Pterosaur,,Ancient Fang,30%,,,DLC,
Rocky Hill Shrine,Flame Wisp,,Fire Mana +,20%,,,DLC,
Rocky Hill Shrine,Gigataur,,Wild Beast Meat,30%,,,DLC,
Rocky Hill Shrine,Gigataur,,Cruel Fang,20%,,,DLC,
Rocky Hill Shrine,Hell Gigante,,Giant Beast Meat,30%,,,DLC,
Rocky Hill Shrine,Hell Gigante,,Giant Beast's Horn,20%,,,DLC,
Rocky Hill Shrine,Blazine,,Fire Mana +,20%,Night Only,,DLC,
Rocky Hill Shrine,Blazine,,Light Mana,5%,Night Only,,DLC,
Rocky Hill Shrine,Hell Gigante,Hell Gigante Bounty,Giant Beast's Horn,100%,,,DLC,
Rocky Hill Shrine,Hell Gigante,Hell Gigante Bounty,13000 Dosh,,,,DLC,
Rocky Hill Shrine,Blazine,Blazine Bounty,Other-Worldly Powder,100%,Night Only,,DLC,
Rocky Hill Shrine,Blazine,Blazine Bounty,2800 Dosh,,Night Only,,DLC,
Trial of Time,Berserk Giant,,Berserk Stone,30%,,,DLC,
Trial of Time,Antiquesaurus,,Giant Beast Meat,30%,,,DLC,
Trial of Time,Dark Giant,,Berserk Stone,30%,,,DLC,
Trial of Time,Dark Giant,,Berserk Stone +,20%,,,DLC,
Trial of Time,Deadly Medusa,,Spell Stone,30%,,,DLC,
Trial of Time,Deadly Medusa,,Spell Stone +,5%,,,DLC,
Trial of Time,Giant Mimic,,Ancient Stone +,30%,,,DLC,
Trial of Time,Grand Marinetaur,,Sack of Secret Treasure,30%,,,DLC,
Trial of Time,Grand Marinetaur,,Goddess's Carp,10%,,,DLC,
Trial of Time,Medusa,,Cursed Tail,30%,,,DLC,
Trial of Time,Killertaur,,Wild Beast Meat,30%,,,DLC,
Trial of Time,Killertaur,,Mad Beast's Fang,20%,,,DLC,
Trial of Time,Antiquesaurus,Antiquesaurus Bounty,Mystical Sapphire,100%,,,DLC,
Trial of Time,Antiquesaurus,Antiquesaurus Bounty,4000 Dosh,,,,DLC,
Trial of Time,Dark Giant,Dark Giant Bounty,Berserk Stone +,100%,,,DLC,
Trial of Time,Dark Giant,Dark Giant Bounty,5200 Dosh,,,,DLC,
Trial of Time,Deadly Medusa,Deadly Medusa Bounty,Ancient Orb,100%,,,DLC,
Trial of Time,Deadly Medusa,Deadly Medusa Bounty,4800 Dosh,,,,DLC,
Trial of Time,Giant Mimic,Giant Mimic Bounty,Ancient Emerald,100%,,,DLC,
Trial of Time,Giant Mimic,Giant Mimic Bounty,3800 Dosh,,,,DLC,
Trial of Time,Grand Marinetaur,Grand Marinetaur Bounty,Galaxy Apple,100%,,,DLC,
Trial of Time,Grand Marinetaur,Grand Marinetaur Bounty,3800 Dosh,,,,DLC,
Trial of Time,Medusa,Medusa Bounty,Spell Stone,100%,,,DLC,
Trial of Time,Medusa,Medusa Bounty,3600 Dosh,,,,DLC,
Trial of Time,Killertaur,Killertaur Bounty,Mad Beast's Fang,100%,,,DLC,
Trial of Time,Killertaur,Killertaur Bounty,20000 Dosh,,,,DLC,
Trial of Darkness,Gargoyle,,Ancient Flower,30%,,,DLC,
Trial of Darkness,Gargoyle,,Ancient Stone,10%,,,DLC,
Trial of Darkness,Bloodmon,,Curious Object,30%,,,DLC,
Trial of Darkness,Bloodmon,,Unknown Life Form,5%,,,DLC,
Trial of Darkness,Shadow Protector,,Divine Pods,30%,,,DLC,
Trial of Darkness,Shadow Protector,,Divine Buttons,10%,,,DLC,
Trial of Darkness,Shadow Protector,,Shadow Mana,10%,,,DLC,
Trial of Darkness,Shadow Gargoyle,,Vile Claws,30%,,,DLC,
Trial of Darkness,Shadow Gargoyle,,Other-Worldly Leaf,20%,,,DLC,
Trial of Darkness,Demon Master,,Evil Claws,30%,,,DLC,
Trial of Darkness,Demon Master,,Mysterious Artefact,20%,,,DLC,
Trial of Darkness,Bloodmon,Bloodmon Bounty,Unknown Life Form,100%,,,DLC,
Trial of Darkness,Bloodmon,Bloodmon Bounty,3500 Dosh,,,,DLC,
Trial of Darkness,Shadow Gargoyle,Shadow Gargoyle Bounty,Other-Worldly Leaf,100%,,,DLC,
Trial of Darkness,Shadow Gargoyle,Shadow Gargoyle Bounty,5000 Dosh,,,,DLC,
Trial of Darkness,Demon Master,Demon Master Bounty,Mysterious Artefact,100%,,,DLC,
Trial of Darkness,Demon Master,Demon Master Bounty,30000 Dosh,,,,DLC,
Trial of Light,Divine Mimic,,Sack of Secret Treasure,30%,,,DLC,
Trial of Light,Divine Mimic,,Divine Powder,20%,,,DLC,
Trial of Light,Crabby Knight,,Crab Shell,30%,,,DLC,
Trial of Light,Crabby Knight,,Crab Claw,20%,,,DLC,
Trial of Light,Iron Guardian,,Soul Stone,30%,,,DLC,
Trial of Light,Dark Guardian,,Soul Stone,30%,,,DLC,
Trial of Light,Dark Guardian,,Lifeforce Cluster,10%,,,DLC,
Trial of Light,Crabby Paladin,,Crab Claw,30%,,,DLC,
Trial of Light,Crabby Paladin,,Crab Shell,20%,,,DLC,
Trial of Light,Divine Guardian,,Soul Stone,30%,,,DLC,
Trial of Light,Divine Guardian,,Lifeforce Cluster,20%,,,DLC,
Trial of Light,Heavy Guardian,,Soul Stone,30%,,,DLC,
Trial of Light,Heavy Guardian,,Protection Stone,20%,,,DLC,
Trial of Light,Jellqueen,,Queen Gel,30%,,,DLC,
Trial of Light,Aqualion,,Mythical Meat,30%,,,DLC,
Trial of Light,Aqualion,,Mythical Beast's Scales,10%,,,DLC,
Trial of Light,Blazilion,,Mythical Meat,30%,,,DLC,
Trial of Light,Blazilion,,Mythical Beast's Scales,10%,,,DLC,
Trial of Light,Gustilion,,Mythical Meat,30%,,,DLC,
Trial of Light,Gustilion,,Mythical Beast's Scales,10%,,,DLC,
Trial of Light,Crystal Dragon,,Crystal Scale,30%,,,DLC,
Trial of Light,Crystal Dragon,,Star Diamond,20%,,,DLC,
Trial of Light,Crabby Paladin,Crabby Paladin Bounty,Prism Jewel,100%,,,DLC,
Trial of Light,Crabby Paladin,Crabby Paladin Bounty,4800 Dosh,,,,DLC,
Trial of Light,Divine Guardian,Divine Guardian Bounty,Soul Stone +,100%,,,DLC,
Trial of Light,Divine Guardian,Divine Guardian Bounty,5500 Dosh,,,,DLC,
Trial of Light,Heavy Guardian,Heavy Guardian Bounty,Protection Stone +,100%,,,DLC,
Trial of Light,Heavy Guardian,Heavy Guardian Bounty,6200 Dosh,,,,DLC,
Trial of Light,Jellqueen,Jellqueen Bounty,Queen Gel,100%,,,DLC,
Trial of Light,Jellqueen,Jellqueen Bounty,6000 Dosh,,,,DLC,
Trial of Light,Aqualion,Aqualion Bounty,Mythical Beast's Scales,100%,,,DLC,
Trial of Light,Aqualion,Aqualion Bounty,6500 Dosh,,,,DLC,
Trial of Light,Blazilion,Blazilion Bounty,Mythical Beast's Scales,100%,,,DLC,
Trial of Light,Blazilion,Blazilion Bounty,6500 Dosh,,,,DLC,
Trial of Light,Gustilion,Gustilion Bounty,Mythical Beast's Scales,100%,,,DLC,
Trial of Light,Gustilion,Gustilion Bounty,6500 Dosh,,,,DLC,
Trial of Light,Crystal Dragon,Crystal Dragon Bounty,Star Diamond,100%,,,DLC,
Trial of Light,Crystal Dragon,Crystal Dragon Bounty,40000 Dosh,,,,DLC,
