Life,Rank,Group,Item,High Level
Cook,Hero,Meat,Dragon Steak,true
Cook,Hero,Meat,Roast of Legend,true
Cook,Demi-Creator,Meat,Fluffy Roast,
Cook,Demi-Creator,Meat,Valorous Kebab,true
Cook,Creator,Meat,Heavenly Burger,true
Cook,Creator,Meat,Heavenly Feast,true
Cook,Fledgling,Seafood,Grilled Crucian,
Cook,Fledgling,Seafood,Grilled Sweetfish,
Cook,Fledgling,Seafood,Fish Soup,
Cook,Apprentice,Seafood,Rustic Trout,true
Cook,Apprentice,Seafood,Grilled Tuna Head,true
Cook,Apprentice,Seafood,Tuna Sashimi,
Cook,Apprentice,Seafood,Seafood Stew,
Cook,Apprentice,Seafood,Rice-Stuffed Squid,
Cook,Adept,Seafood,Sardine Pâté,
Cook,Adept,Seafood,Hot Prawn Brisque,
Cook,Adept,Seafood,Prawn Gratin,
Cook,Adept,Seafood,Grilled Eel,true
Cook,Adept,Seafood,Rustic Rainbow Trout,true
Cook,Adept,Seafood,Bream Sashimi,
Cook,Adept,Seafood,Port Town Gratin,
Cook,Adept,Seafood,Flying Fish Sushi,
Cook,Expert,Seafood,Dried Sandfish,
Cook,Expert,Seafood,Red Soup,
Cook,Expert,Seafood,Swordfish Head,true
Cook,Expert,Seafood,Pufferfish Sashimi,true
Cook,Expert,Seafood,Rustic Swordfish,
Cook,Expert,Seafood,Fish Soup of Love,
Cook,Expert,Seafood,Tuna Sushi,
Cook,Expert,Seafood,Smelt Soup,
Cook,Expert,Seafood,Sashimi Set,true
Cook,Master,Seafood,Desert Fish Stew,true
Cook,Master,Seafood,Frosty Fish Stew,true
Cook,Master,Seafood,Fiery Fish Stew,true
Cook,Master,Seafood,Sky Sashimi Set,true
Cook,Master,Seafood,Golden Fish Head,true
Cook,Hero,Seafood,Fancy Sashimi Set,true
Cook,Demi-Creator,Seafood,Rainbow Paella,
Cook,Demi-Creator,Seafood,Fossil Sashimi Set,true
Cook,Demi-Creator,Seafood,Dark Giant Stew,true
Cook,Creator,Seafood,Godly Soup,true
Cook,Creator,Seafood,Ghastly Stew,true
Cook,Creator,Seafood,Sea Lord Set,true
Tailor,Fledgling,Material,Dandelion Cotton,
Tailor,Fledgling,Material,Woven Straw Fabric,
Tailor,Apprentice,Material,Silk,
Tailor,Apprentice,Material,Wool,
Tailor,Adept,Material,Sunny Cotton,
Tailor,Adept,Material,Marine Silk,
Tailor,Adept,Material,Linen,
Tailor,Expert,Material,Cashmere,
Tailor,Expert,Material,Flare Wool,
Tailor,Expert,Material,Black Cashmere,
Tailor,Master,Material,Angelic Cotton,
Tailor,Master,Material,Pink Silk,
Tailor,Master,Material,Stardust Linen,
Tailor,Demi-Creator,Material,Rainbow Linen,
Tailor,Demi-Creator,Material,Divine Cashmere,
Tailor,Fledgling,Top and Bottom,Castele Blouse,
Tailor,Fledgling,Top and Bottom,Castele Shirt,
Tailor,Fledgling,Top and Bottom,Castele Skirt,
Tailor,Fledgling,Top and Bottom,Castele Slacks,
Tailor,Fledgling,Top and Bottom,Artisan's Appron,true
Tailor,Fledgling,Top and Bottom,Artisan's Puffy Shorts,
Tailor,Fledgling,Top and Bottom,Highland Top,
Tailor,Fledgling,Top and Bottom,Highliand Kilt,
Tailor,Fledgling,Top and Bottom,Sunshine Skirt,
Tailor,Apprentice,Top and Bottom,Duelling Outfit,
Tailor,Apprentice,Top and Bottom,Duelling Bottoms,
Tailor,Apprentice,Top and Bottom,Harbour Hunny Suit,
Tailor,Apprentice,Top and Bottom,Harbour Hunny Skirt,
Tailor,Apprentice,Top and Bottom,Harbour Hunk Suit,
Tailor,Apprentice,Top and Bottom,Harbour Hunk Slacks,
Tailor,Apprentice,Top and Bottom,Quilted Coat,true
Tailor,Apprentice,Top and Bottom,Quilted Bottoms,
Tailor,Apprentice,Top and Bottom,Striped Skirt,
Tailor,Apprentice,Top and Bottom,Seafarer's Outfit,
Tailor,Apprentice,Top and Bottom,Seafarer's Capris,
Tailor,Apprentice,Top and Bottom,Lined Skirt,
Tailor,Adept,Top and Bottom,Twin Tail Jacket,true
Tailor,Adept,Top and Bottom,Watermeloons,
Tailor,Adept,Top and Bottom,Holiday Top,
Tailor,Adept,Top and Bottom,Sea Sarong,
Tailor,Adept,Top and Bottom,Holiday Shirt,
Tailor,Adept,Top and Bottom,Sea Trunks,
Tailor,Adept,Top and Bottom,Chic Maajik Loose Top,
Tailor,Adept,Top and Bottom,Chic Maajik Skirt,
Tailor,Adept,Top and Bottom,Chic Maajik Top,
Tailor,Adept,Top and Bottom,Chic Maajik Capris,
Tailor,Adept,Top and Bottom,Puffy Sleeved Top,
Tailor,Adept,Top and Bottom,Loose Stripies,
Tailor,Adept,Top and Bottom,Frilly Skirt,
Tailor,Adept,Top and Bottom,Twilight Top,
Tailor,Adept,Top and Bottom,Desert Diva Skirt,
Tailor,Adept,Top and Bottom,Desert Top,
Tailor,Adept,Top and Bottom,Loose Trousers,
Tailor,Adept,Top and Bottom,Linen Tunic,
Tailor,Adept,Top and Bottom,Linen Bottoms,
Tailor,Adept,Top and Bottom,Coastal Armor,
Tailor,Adept,Top and Bottom,Coastal Bottoms,
Tailor,Adept,Top and Bottom,Frigid Armor,
Tailor,Adept,Top and Bottom,Frigid Bottoms,
Tailor,Expert,Top and Bottom,Pretty Princess Outfit,
Tailor,Expert,Top and Bottom,Tuxedo,
Tailor,Expert,Top and Bottom,Formal Trousers,
Tailor,Expert,Top and Bottom,Checkered Skirt,
Tailor,Expert,Top and Bottom,Maharaja Robe,
Tailor,Expert,Top and Bottom,Maharaja Bottoms,
Tailor,Expert,Top and Bottom,Banded Skirt,
Tailor,Expert,Top and Bottom,Denim Long Skirt,
Tailor,Expert,Top and Bottom,Sandy Armor,
Tailor,Expert,Top and Bottom,Sandy Bottoms,
Tailor,Expert,Top and Bottom,Grotto Armor,
Tailor,Expert,Top and Bottom,Grotto Bottoms,
Tailor,Expert,Top and Bottom,Flame Robe,
Tailor,Expert,Top and Bottom,Aqua Robe,
Tailor,Master,Top and Bottom,Sky-High Armor,
Tailor,Master,Top and Bottom,Sky-High Bottoms,
Tailor,Master,Top and Bottom,Earth Robe,
Tailor,Master,Top and Bottom,Wind Robe,
Tailor,Master,Top and Bottom,Polka-Dot Skirt,
Tailor,Hero,Top and Bottom,Umbral Robe,
Tailor,Hero,Top and Bottom,Light Robe,
Tailor,Demi-Creator,Top and Bottom,Origin Island Armor,
Tailor,Demi-Creator,Top and Bottom,Origin Island Bottoms,
Tailor,Demi-Creator,Top and Bottom,Rainbow Robe,
Tailor,Demi-Creator,Top and Bottom,Sacred Robe,
Tailor,Demi-Creator,Top and Bottom,Sacred Trousers,
Tailor,Creator,Top and Bottom,Philosopher's Robe,
Tailor,Creator,Top and Bottom,Freya's Mail,
Tailor,Creator,Top and Bottom,Freya's Skirt,
Tailor,Creator,Top and Bottom,Minerva's Mail,
Tailor,Creator,Top and Bottom,Minerva's Skirt,
Tailor,Creator,Top and Bottom,Valkyrie Mail,
Tailor,Creator,Top and Bottom,Valkyrie Skirt,
Tailor,Creator,Top and Bottom,Heatwave Apron,
Tailor,Creator,Top and Bottom,Woodland Jacket,
Tailor,Creator,Top and Bottom,Woodland Trousers,
Tailor,Creator,Top and Bottom,Grand Miner's Bottoms,
Tailor,Creator,Top and Bottom,Chief's Apron,
Tailor,Creator,Top and Bottom,Chief's Breeches,
Tailor,Creator,Top and Bottom,Famous Fisher's Smock,
Tailor,Creator,Top and Bottom,Doctor's Garb,
Tailor,Creator,Top and Bottom,Fashionista's Dress,
Tailor,Creator,Top and Bottom,Five Star Outfit,
Tailor,Creator,Top and Bottom,Buccaneer's Coat,
Tailor,Creator,Top and Bottom,Buccaneer's Shorts,
Tailor,Creator,Top and Bottom,Sniper Tunic,
Tailor,Creator,Top and Bottom,Sniper's Culottes,
Tailor,Creator,Top and Bottom,Grand Magician's Robe,
Tailor,Creator,Top and Bottom,Monarch Outfit,
Tailor,Creator,Top and Bottom,Monarch Thighs,
Tailor,Fledgling,Other,Lowtop Shoes,
Tailor,Fledgling,Other,Artisan's Hat,
Tailor,Fledgling,Other,Artisan's Mitts,
Tailor,Fledgling,Other,Artisan's Shoes,
Tailor,Fledgling,Other,Highland Beret,
Tailor,Fledgling,Other,Highland Loafers,
Tailor,Fledgling,Other,Cape,true
Tailor,Apprentice,Other,Duelling Boots,
Tailor,Apprentice,Other,Quilted Hat,
Tailor,Apprentice,Other,Quilted Mittens,
Tailor,Apprentice,Other,Quilted Boots,
Tailor,Apprentice,Other,Netted Hat,
Tailor,Apprentice,Other,Harbour Sandals,
Tailor,Apprentice,Other,Warrior's Sandals,
Tailor,Adept,Other,Mules,
Tailor,Adept,Other,Beach Sandals,
Tailor,Adept,Other,Ribbon-Laced Shoes,
Tailor,Adept,Other,Cup Cap,
Tailor,Adept,Other,Comfy Slippers,
Tailor,Adept,Other,Jade Turban,
Tailor,Adept,Other,Gold Bangles,
Tailor,Adept,Other,High-Toe Boots,
Tailor,Adept,Other,Desert Headdress,
Tailor,Adept,Other,Pair of Babouches,
Tailor,Adept,Other,Moccasins,
Tailor,Adept,Other,Long Cape,
Tailor,Adept,Other,Bat Cape,
Tailor,Adept,Other,Coastal Headwear,
Tailor,Adept,Other,Coastal Gloves,
Tailor,Adept,Other,Coastal Boots,
Tailor,Adept,Other,Frigid Headwear,
Tailor,Adept,Other,Frigid Gloves,
Tailor,Adept,Other,Frigid Boots,
Tailor,Expert,Other,Castele Heels,
Tailor,Expert,Other,Formal Dress Shoes,
Tailor,Expert,Other,Short Cape,
Tailor,Expert,Other,Maharaja Turban,
Tailor,Expert,Other,Maharaja Shoes,
Tailor,Expert,Other,Grinning Hat,
Tailor,Expert,Other,Magic Mittens,
Tailor,Expert,Other,Magic Shoes,
Tailor,Expert,Other,Sandy Headwear,
Tailor,Expert,Other,Sandy Gloves,
Tailor,Expert,Other,Sandy Boots,
Tailor,Expert,Other,Grotto Headwear,
Tailor,Expert,Other,Grotto Gloves,
Tailor,Expert,Other,Grotto Boots,
Tailor,Expert,Other,Flame Hood,
Tailor,Expert,Other,Aqua Hood,
Tailor,Expert,Other,Shark Hat,
Tailor,Master,Other,Sky-High Headwear,
Tailor,Master,Other,Sky-High Gloves,
Tailor,Master,Other,Sky-High Boots,
Tailor,Master,Other,Earth Hood,
Tailor,Master,Other,Wind Hood,
Tailor,Hero,Other,Umbral Hood,
Tailor,Hero,Other,Light Hood,
Tailor,Demi-Creator,Other,Origin Island Cap,
Tailor,Demi-Creator,Other,Origin Island Gloves,
Tailor,Demi-Creator,Other,Origin Island Boots,
Tailor,Demi-Creator,Other,Tiger Carp Helm,
Tailor,Demi-Creator,Other,Rainbow Hood,
Tailor,Demi-Creator,Other,Sacred Hood,
Tailor,Demi-Creator,Other,Sacred Hand Guards,
Tailor,Demi-Creator,Other,Sacred Boots,
Tailor,Demi-Creator,Other,Sacred Cape,
Tailor,Creator,Other,Philosopher's Hat,
Tailor,Creator,Other,Philosopher's Mitts,
Tailor,Creator,Other,Philosopher's Shoes,
Tailor,Creator,Other,Freya's Helm,
Tailor,Creator,Other,Freya's Hand Guards,
Tailor,Creator,Other,Freya's Sandals,
Tailor,Creator,Other,Freya's Wings,
Tailor,Creator,Other,Minerva's Helm,
Tailor,Creator,Other,Minerva's Hand Guards,
Tailor,Creator,Other,Minerva's Sandals,
Tailor,Creator,Other,Minerva's Wings,
Tailor,Creator,Other,Valkyrie Helm,
Tailor,Creator,Other,Valkyrie Hand Guards,
Tailor,Creator,Other,Valkyrie Sandals,
Tailor,Creator,Other,Valkyrie Wings,
Tailor,Creator,Other,Hammer Head,
Tailor,Creator,Other,Hammer Gloves,
Tailor,Creator,Other,Hammer Boots,
Tailor,Creator,Other,Woodland Beret,
Tailor,Creator,Other,Woodland Bangles,
Tailor,Creator,Other,Woodland Boots,
Tailor,Creator,Other,Grand Miner's Mitts,
Tailor,Creator,Other,Grand Miner's Boots,
Tailor,Creator,Other,Chief's Bandana,
Tailor,Creator,Other,Chief's Hand Guards,
Tailor,Creator,Other,Chief's Safety Boots,
Tailor,Creator,Other,Whale Hood,
Tailor,Creator,Other,Famous Fisher's Gloves,
Tailor,Creator,Other,Famous Fisher's Sandals,
Tailor,Creator,Other,Creativity Cap,
Tailor,Creator,Other,Doctor's Shoes,
Tailor,Creator,Other,Doctor's Cape,
Tailor,Creator,Other,Silk Pincushion,
Tailor,Creator,Other,Fashionista Shoes,
Tailor,Creator,Other,Five Star Hat,
Tailor,Creator,Other,Five Star Shoes,
Tailor,Creator,Other,Crusader's Cape,
Tailor,Creator,Other,Buccaneer's Boots,
Tailor,Creator,Other,Buccaneer's Hat,
Tailor,Creator,Other,Sniper's Hat,
Tailor,Creator,Other,Sniper's Gloves,
Tailor,Creator,Other,Sniper's Boots,
Tailor,Creator,Other,Grand Magician's Hood,
Tailor,Creator,Other,Grand Magician's Shoes,
Tailor,Creator,Other,Monarch Crown,
Tailor,Creator,Other,Monarch Gloves,
Tailor,Creator,Other,Monarch Loafers,
Tailor,Fledgling,Decor,Simple Curtains,
Tailor,Fledgling,Decor,Simple Mat,
Tailor,Fledgling,Decor,Simple Carpet,
Tailor,Fledgling,Decor,Teddy Bear,
Tailor,Apprentice,Decor,Castele Curtains,
Tailor,Apprentice,Decor,Woven Castele Mat,
Tailor,Apprentice,Decor,Woven Castele Rug,
Tailor,Apprentice,Decor,Veggie Plot Rug,
Tailor,Apprentice,Decor,Rush Rug,
Tailor,Adept,Decor,Wooden Log Rug,
Tailor,Adept,Decor,Forest Curtains,
Tailor,Adept,Decor,Leaf Mat,
Tailor,Adept,Decor,Lace Curtains,
Tailor,Adept,Decor,Cuddly Sea Turtle,
Tailor,Expert,Decor,Port Town Mat,
Tailor,Expert,Decor,Port Town Rug,
Tailor,Expert,Decor,Pirate Ship Window,
Tailor,Expert,Decor,Pirate Mat,
Tailor,Expert,Decor,Ship Deck Rug,
Tailor,Expert,Decor,Pirate Flag,
Tailor,Expert,Decor,Starry Night Curtains,
Tailor,Expert,Decor,Starry Night Mat,
Tailor,Expert,Decor,Starry Night Rug,
Tailor,Expert,Decor,Clover Rug,
Tailor,Expert,Decor,Toy Camel,
Tailor,Master,Decor,Netherworldly Curtains,
Tailor,Master,Decor,Mat of Darkness,
Tailor,Master,Decor,Underworld Rug,
Tailor,Master,Decor,Royal Curtains,
Tailor,Master,Decor,Royal Mat,
Tailor,Master,Decor,Royal Rug,
Tailor,Master,Decor,Big Bunny Plushie,
Tailor,Demi-Creator,Decor,Cloud Curtains,
Tailor,Demi-Creator,Decor,Fluffkin-Shaped Rug,
Tailor,Creator,Decor,Fish-for-Life Flag,
Tailor,Creator,Decor,Plushy Cottage,
Tailor,Creator,Decor,Plushling Plushie,
