Rank,Life,Name,Stars,Dependency1,Dependency2,Dependency3,Dependency4,DLC
Expert,Cook,Give Thanks for Perfect Pie,,,,,,
Expert,Cook,Sandfish Specialty,,,,,,
Expert,Cook,Sweet Dino Dish,,,,,,
Expert,Cook,Exquisite Puffer Fish,,Angler,,,,
Expert,Cook,A Lovely Way to Cook Bream,,Angler,,,,
Expert,Cook,Tuna for refined Taste,,,,,,
Expert,Cook,Expert Creations,,,,,,
Expert,Cook,"A Big, Hearty Breakfast",,,,,,
Expert,Cook,Crossing Swords,,Angler,,,,
Expert,Cook,Monstrous Appetite,,,,,,
Expert,Cook,A Pampered Burger,,,,,,
Expert,Cook,Savor the Smelt,,,,,,
Expert,Cook,Spectacular Sashimi,,,,,,
Expert,Cook,Recommended by Damien,,,,,,
Master,Cook,The King of Omelets,,,,,,
Master,Cook,Desert Delicacy,,,,,,
Master,Cook,Snowy Special,,,,,,
Master,Cook,Lava Lunch,,,,,,
Master,Cook,Special Stew Menu,,,,,,
Master,Cook,A Most Magical Pie,,,,,,
Master,Cook,"Hot, Cold and Eggy",,,,,,
Master,Cook,Roast for the Brave,,,,,,
Master,Cook,Electrifying Egg,,,,,,
Master,Cook,Master of the Kitchen,,,,,,
Master,Cook,Airy Delicacy,,Angler,,,,
Hero,Cook,The Tale of Sweet Corn,,,,,,
Hero,Cook,High Steaks,,,,,,
Hero,Cook,Good as Gold,,Angler,,,,
Hero,Cook,What Sorcery Is This?,,,,,,
Hero,Cook,Egg & Veggie Master,,,,,,
Hero,Cook,Cuisine for Champions,,,,,,
Hero,Cook,Dreaming of Sashimi,,Angler,,,,
Hero,Cook,Cooking Masters,,,,,,
Hero,Cook,Meat Master,,,,,,
Hero,Cook,Seafood Master,,,,,,
Creator,Cook,Epic Roast,,,,,,DLC
Creator,Cook,A Spectrum of Flavors,,,,,,DLC
Creator,Cook,Resort Town Special,,,,,,DLC
Creator,Cook,Finest Frappé,,,,,,DLC
Creator,Cook,Bards Will Sing Its Praises,,,,,,DLC
Creator,Cook,Demi-Creator-Tastiness,,,,,,DLC
Fledgling,Blacksmith,Copper Basics,,,,,,
Fledgling,Blacksmith,Bronze Buddy,,,,,,
Fledgling,Blacksmith,Craft a Bronze Sword!,,,,,,
Fledgling,Blacksmith,Craft a Bronze Dagger!,,,,,,
Fledgling,Blacksmith,Craft a Bronze Shield!,,,,,,
Fledgling,Blacksmith,Craft a Bronze Claymore!,,,,,,
Fledgling,Blacksmith,Craft a Leather Armour!,,,,,,
Fledgling,Blacksmith,Leathercrafter,,,,,,
Fledgling,Blacksmith,Coppersmith Extraordinaire,,,,,,
Fledgling,Blacksmith,Just Getting Fired Up!,,,,,,
Apprentice,Blacksmith,Iron Basics,,,,,,
Apprentice,Blacksmith,Craft an Iron Hammer!,,,,,,
Apprentice,Blacksmith,Craft an Iron Pickaxe!,,,,,,
Apprentice,Blacksmith,Craft an Iron Needle!,,,,,,
Apprentice,Blacksmith,Craft an Iron Frying Pan!,,,,,,
Apprentice,Blacksmith,Craft an Iron Shield!,,,,,,
Apprentice,Blacksmith,Iron-Arms Artisan,,,,,,
Apprentice,Blacksmith,Craft an Iron Leg Armor!,,,,,,
Apprentice,Blacksmith,Craft an Iron Helm!,,,,,,
Apprentice,Blacksmith,Craft an Iron Hand Armor!,,,,,,
Apprentice,Blacksmith,Craft an Iron Footwear!,,,,,,
Apprentice,Blacksmith,Premium Ironsmith,,,,,,
Apprentice,Blacksmith,Craft a Set of Iron Armor!,,,,,,
Adept,Blacksmith,Craft Savage Leg Armor!,,,,,,
Adept,Blacksmith,Craft a Savage Headpiece!,,,,,,
Adept,Blacksmith,Craft a Pair of Savage Gauntlets!,,,,,,
Adept,Blacksmith,Craft a Pair of Savage Boots!,,,,,,
Adept,Blacksmith,Craft Savage Armor!,,,,,,
Adept,Blacksmith,Craft Mermaid Leg Armor!,,,,,,
Adept,Blacksmith,Craft a Mermaid Helm!,,,,,,
Adept,Blacksmith,Craft a Pair of Mermaid Gloves!,,,,,,
Adept,Blacksmith,Craft a Pair of Mermaid Boots!,,,,,,
Adept,Blacksmith,Silver Basics,,,,,,
Adept,Blacksmith,Craft a Silver Hammer!,,,,,,
Adept,Blacksmith,Sleek Silver,,,,,,
Adept,Blacksmith,Silver Lining,,,,,,
Adept,Blacksmith,Fight Silver with Silver,,,,,,
Adept,Blacksmith,Craft a Silver Needle!,,,,,,
Adept,Blacksmith,Have a License for that Thing?!,,,,,,
Adept,Blacksmith,"Behold, the Silversmith!",,,,,,
Adept,Blacksmith,Shiny Protection,,,,,,
Adept,Blacksmith,Two-Handed Fury,,,,,,
Expert,Blacksmith,Gold Basics,,,,,,
Expert,Blacksmith,Craft Shell Armor!,,,,,,
Expert,Blacksmith,Shellshocked!,,,,,,
Expert,Blacksmith,Golden Guard,,,,,,
Expert,Blacksmith,A Golden Opportunity,,,,,,
Expert,Blacksmith,Craft a Gold Hammer!,,,,,,
Expert,Blacksmith,Platinum Basics,,,,,,
Expert,Blacksmith,Bling! Bling!,,,,,,
Expert,Blacksmith,We Just Went Platinum!,,Carpenter,,,,
Expert,Blacksmith,Captain's Guard,,Carpenter,,,,
Expert,Blacksmith,Straight to the Point,,,,,,
Expert,Blacksmith,Bonebreaker,,,,,,
Expert,Blacksmith,The Beast Defence,,,,,,
Expert,Blacksmith,Hungry Like a Beast,,,,,,
Expert,Blacksmith,All Clammed Up,,,,,,
Expert,Blacksmith,Furnace Side Fashion,,,,,,
Master,Blacksmith,Three's a Crowd,,,,,,
Master,Blacksmith,Fuel the Flames!,,,,,,
Master,Blacksmith,Artisan of the Arcane,,,,,,
Master,Blacksmith,Magmacrafter,,,,,,
Master,Blacksmith,Aquacrafter,,,,,,
Master,Blacksmith,Some Killer Crystal,,,,,,
Master,Blacksmith,Three is the Magic Number,,,,,,
Master,Blacksmith,Dragon Armour,,,,,,
Master,Blacksmith,Light Enough For Ya?,,,,,,
Master,Blacksmith,Into the Void!,,,,,,
Master,Blacksmith,The Crusher,,,,,,
Master,Blacksmith,The Price of Protection,,,,,,
Master,Blacksmith,Crush the Competition!,,,,,,
Hero,Blacksmith,Celestial Basics,,,,,,
Hero,Blacksmith,Feel the Joy,,Woodcutter,,,,
Hero,Blacksmith,Shockingly Effective,,,,,,
Hero,Blacksmith,One Armor to Guard All,,Tailor,,,,
Hero,Blacksmith,Armor Amore,,Tailor,,,,
Hero,Blacksmith,Good Things Come in Fives,,,,,,
Creator,Blacksmith,Positively Ancient,,,,,,DLC
Creator,Blacksmith,Embrace the Darkness,,,,,,DLC
Creator,Blacksmith,Smithing is Godliness,,Miner,,,,DLC
Creator,Blacksmith,Runecrafter,,,,,,DLC
Creator,Blacksmith,Shadowcrafter,,,,,,DLC
Creator,Blacksmith,Like Clockwork,,,,,,DLC
Fledgling,Carpenter,Starter Saw,,,,,,
Fledgling,Carpenter,Fisherman's Friend,,,,,,
Fledgling,Carpenter,Magic Mate,,,,,,
Fledgling,Carpenter,Have a Seat,,,,,,
Fledgling,Carpenter,Carpenter's Choice,,,,,,
Fledgling,Carpenter,Chop Shop,,,,,,
Fledgling,Carpenter,Bow Wow,,,,,,
Fledgling,Carpenter,Tools of the Trade,,,,,,
Fledgling,Carpenter,Mini Master,,,,,,
Fledgling,Carpenter,Log Cabin Dreams,,,,,,
Apprentice,Carpenter,Fine Pine,,,,,,
Apprentice,Carpenter,Reel Impressive,,,,,,
Apprentice,Carpenter,It's Magic,,,,,,
Apprentice,Carpenter,Patch Pro,,,,,,
Apprentice,Carpenter,Choppin' Time,,,,,,
Apprentice,Carpenter,Target Practice,,,,,,
Apprentice,Carpenter,Help Yourself,,,,,,
Apprentice,Carpenter,Palm Down,,,,,,
Apprentice,Carpenter,Coastal Chair,,,,,,
Apprentice,Carpenter,Tile Style,,,,,,
Apprentice,Carpenter,Port-Town Portfolio,,,,,,
Apprentice,Carpenter,Treasured Chest,,,,,,
Apprentice,Carpenter,Plenty o' Palm,,,,,,
Apprentice,Carpenter,Barrel Role,,,,,,
Apprentice,Carpenter,I Saw That,,,,,,
Adept,Carpenter,Sugar Rush,,,,,,
Adept,Carpenter,Sweet Stroke,,,,,,
Adept,Carpenter,Sweet Shot,,,,,,
Adept,Carpenter,Reel Sweet,,,,,,
Adept,Carpenter,Sweet Spells,,,,,,
Adept,Carpenter,Starlight Seat,,,,,,
Adept,Carpenter,Full of Stars,,,,,,
Adept,Carpenter,Sweet Dreams,,,,,,
Adept,Carpenter,Mangrove Madness,,,,,,
Adept,Carpenter,Captain's Chair,,,,,,
Adept,Carpenter,You Are a Pirate,,,,,,
Adept,Carpenter,Davy Jones's Locker,,,,,,
Adept,Carpenter,Pirate Perch,,,,,,
Adept,Carpenter,Berth Right,,,,,,
Adept,Carpenter,Cutting Edge,,,,,,
Expert,Carpenter,Fantastic Fir,,,,,,
Expert,Carpenter,Sparks Fly,,Blacksmith,,,,
Expert,Carpenter,Moon Beams,,,,,,
Expert,Carpenter,Crow About It,,,,,,
Expert,Carpenter,Fit for a King,,Blacksmith,,,,
Expert,Carpenter,Fish Fancy,,,,,,
Expert,Carpenter,Peat Seat,,,,,,
Expert,Carpenter,Putting the Rest in Forest,,Woodcutter,,,,
Expert,Carpenter,Exterior Decor,,,,,,
Expert,Carpenter,Sand 'Em Down,,,,,,
Expert,Carpenter,Killer Bow,,,,,,
Expert,Carpenter,Treasure Trove,,,,,,
Expert,Carpenter,Occult Classic,,,,,,
Expert,Carpenter,Throne of Beams,,,,,,
Expert,Carpenter,Bloody Good Work,,,,,,
Expert,Carpenter,Locker Shocker,,,,,,
Expert,Carpenter,Chest of Horrors,,,,,,
Expert,Carpenter,The Dark Side of Decor,,,,,,
Expert,Carpenter,Sweet Screams,,,,,,
Expert,Carpenter,The Dark Sultan's Dresser,,,,,,
Master,Carpenter,Carving Stars,,,,,,
Master,Carpenter,Starlight Magic,,,,,,
Master,Carpenter,Seat Fit for a King,,,,,,
Master,Carpenter,Table Fit for a King,,,,,,
Master,Carpenter,The King's Carpenter,,,,,,
Master,Carpenter,"Earth, Water, Wind, Fire",,,,,,
Master,Carpenter,Staff of Pawwer!,,,,,,
Master,Carpenter,Water Rod,,,,,,
Master,Carpenter,Water Blade,,,,,,
Master,Carpenter,Carpentry Toolbox 6,,,,,,
Master,Carpenter,A Cloud of Bats,,,,,,
Master,Carpenter,Burning Arrow,,,,,,
Master,Carpenter,Desert Wind,,,,,,
Master,Carpenter,Axe Goddess,,,,,,
Master,Carpenter,Sleeping under the Stars,,,,,,
Master,Carpenter,Carpentry Toolbox 7,,,,,,
Hero,Carpenter,Reach for the Skytree,,,,,,
Hero,Carpenter,Map to Adventure,,Woodcutter,,,,
Hero,Carpenter,Fated Arrow,,,,,,
Hero,Carpenter,Sea of Snakes,,Woodcutter,,,,
Creator,Carpenter,Giant Trees,,,,,,DLC
Creator,Carpenter,Divine Trees,,,,,,DLC
Creator,Carpenter,Furry Furniture,,,,,,DLC
Creator,Carpenter,Livin' on a Cloud,,,,,,DLC
Creator,Carpenter,Astral Planning,,,,,,DLC
Creator,Carpenter,Carpentry Toolbox Complete,,,,,,DLC
Fledgling,Tailor,Cotton Creation,,,,,,
Fledgling,Tailor,Dandelion Scion,,,,,,
Fledgling,Tailor,Castele Ladieswear,,,,,,
Fledgling,Tailor,Castele Menswear,,,,,,
Fledgling,Tailor,Artisanal Ambitions,,,,,,
Fledgling,Tailor,Boho Chic,,,,,,
Fledgling,Tailor,Castele Boho Chic,,,,,,
Fledgling,Tailor,Teeming Tailor,,,,,,
Fledgling,Tailor,Highland Habit,,,,,,
Fledgling,Tailor,Artisan's Accoutrements,,,,,,
Apprentice,Tailor,Have You Any Wool?,,,,,,
Apprentice,Tailor,Three Bags Full,,,,,,
Apprentice,Tailor,Harbour Hunny Style,,,,,,
Apprentice,Tailor,Harbour Hunk Style,,,,,,
Apprentice,Tailor,Quilt While You're Ahead,,,,,,
Apprentice,Tailor,Cozy Clothes,,,,,,
Apprentice,Tailor,Dueling Dressers,,,,,,
Apprentice,Tailor,Boardwalk Catwalk,,,,,,
Apprentice,Tailor,Slick Silk,,,,,,
Apprentice,Tailor,Silk Star,,,,,,
Apprentice,Tailor,Tireless Tailor,,,,,,
Apprentice,Tailor,En Garde!,,,,,,
Apprentice,Tailor,High-Class Honey,,,,,,
Apprentice,Tailor,Port Puerto Patterns,,,,,,
Adept,Tailor,Avant-Garde Garb,,,,,,
Adept,Tailor,Call for Cotton,,,,,,
Adept,Tailor,Sunshiny Finery,,,,,,
Adept,Tailor,Cap in Hand,,,,,,
Adept,Tailor,Bobbin's Bear,,,,,,
Adept,Tailor,Desert Designer,,,,,,
Adept,Tailor,Dapper Desert Don,,,,,,
Adept,Tailor,Sea Silk,,,,,,
Adept,Tailor,Beach Combers,,,,,,
Adept,Tailor,His and Hers Beachwear,,,,,,
Adept,Tailor,Coast of Arms,,,,,,
Adept,Tailor,Spinnin' Linens,,,,,,
Adept,Tailor,Tailor Made,,,,,,
Adept,Tailor,Bobbin's Cuddly Turtle,,,,,,
Adept,Tailor,Desert Designs,,,,,,
Adept,Tailor,Fine Frosty Fashion,,,,,,
Expert,Tailor,Gift of the Goat,,,,,,
Expert,Tailor,Lap of Luxury,,,,,,
Expert,Tailor,Skirting the Issue,,,,,,
Expert,Tailor,Fancy Pants,,,,,,
Expert,Tailor,Belle of the Ball,,,,,,
Expert,Tailor,Short and Sweet,,,,,,
Expert,Tailor,The Golden Sheep,,,,,,
Expert,Tailor,Flair for Flare Wool,,,,,,
Expert,Tailor,Bobbin's Toy Camel,,,,,,
Expert,Tailor,Gentlemen's Garments,,,,,,
Expert,Tailor,Ladies' Loungewear,,,,,,
Expert,Tailor,Adventurer's Garb,,,,,,
Expert,Tailor,Work Your Magic,,,,,,
Expert,Tailor,All Smiles,,,,,,
Expert,Tailor,Black Goat's Gift,,,,,,
Expert,Tailor,Extra Extravagance,,,,,,
Expert,Tailor,Skirt Skills,,,,,,
Expert,Tailor,Shark Chic,,,,,,
Expert,Tailor,Well-Trained Tailor,,,,,,
Expert,Tailor,Grotto Aficionado,,,,,,
Expert,Tailor,Majestic Maharaja,,,,,,
Expert,Tailor,Fire Meets Water,,,,,,
Master,Tailor,Angelic Appeal,,,,,,
Master,Tailor,"Earth, Wind, and Attire",,,,,,
Master,Tailor,Bobbin's Bunny,,,,,,
Master,Tailor,Tickled Pink,,,,,,
Master,Tailor,Pink Proficiency,,,,,,
Master,Tailor,Elements of Style,,,,,,
Master,Tailor,The Tenacious Tailor,,,,,,
Master,Tailor,Armor Suit Yourself,,,,,,
Master,Tailor,Stitch for the Stars,,,,,,
Master,Tailor,Stardust Style,,,,,,
Hero,Tailor,"Here, Here, Hero!",,,,,,
Hero,Tailor,Night-and-Day Fashion,,,,,,
Hero,Tailor,Hero's Defence,,,,,,
Hero,Tailor,Bobbin's Big Bunny,,,,,,
Hero,Tailor,Royal Decor,,,,,,
Hero,Tailor,Sewing Superstar,,,,,,
Hero,Tailor,Making Umbrage,,,,,,
Hero,Tailor,Snip the Light Fantastic,,,,,,
Creator,Tailor,Rakish Rainbow,,,,,,DLC
Creator,Tailor,Glittery Glamour,,,,,,DLC
Creator,Tailor,Resplendent in Rainbows,,,,,,DLC
Creator,Tailor,Godly Soft Furnishings,,,,,,DLC
Creator,Tailor,Origin Island Couture,,,,,,DLC
Creator,Tailor,Sacred Tailoring,,,,,,DLC
Fledgling,Alchemist,Heal Thyself,,,,,,
Fledgling,Alchemist,"Poison, Begone!",,,,,,
Fledgling,Alchemist,Stun Undone,,,,,,
Fledgling,Alchemist,Rise and Shine,,,,,,
Fledgling,Alchemist,"Charmed, I'm Sure",,,,,,
Fledgling,Alchemist,Quality Control,,,,,,
Fledgling,Alchemist,Bombs Away!,,,,,,
Fledgling,Alchemist,Perpetual Pep,,,,,,
Fledgling,Alchemist,Flask Task,,,,,,
Fledgling,Alchemist,Notorious Alchemist,,,,,,
Fledgling,Alchemist,Making a Spectacle,,,,,,
Fledgling,Alchemist,Claw Chic,,,,,,
Fledgling,Alchemist,Flamel's Favorite,,,,,,
Apprentice,Alchemist,HP Times Three,,,,,,
Apprentice,Alchemist,Nap Attack,,,,,,
Apprentice,Alchemist,Flask in a Flash,,,,,,
Apprentice,Alchemist,Quality Time,,,,,,
Apprentice,Alchemist,Back to Life,,,,,,
Apprentice,Alchemist,Savage Style,,,,,,
Apprentice,Alchemist,Aquamarine Dream,,,,,,
Apprentice,Alchemist,Topaz Triumph,,,,,,
Apprentice,Alchemist,Sweet Stamina,,,,,,
Apprentice,Alchemist,Assiduous Alchemist,,,,,,
Apprentice,Alchemist,Flamel's Fiery Jewel,,,,,,
Adept,Alchemist,Stylish Sight,,,,,,
Adept,Alchemist,Implicit Crystals,,,,,,
Adept,Alchemist,Sea to Believe,,,,,,
Adept,Alchemist,Fanciful Flower,,,,,,
Adept,Alchemist,Heal to Heal,,,,,,
Adept,Alchemist,More Power to You,,,,,,
Adept,Alchemist,Impossible to Resist,,,,,,
Adept,Alchemist,Magic Touch,,,,,,
Adept,Alchemist,Dangerous Detonation,,,,,,
Adept,Alchemist,Blown Away,,,,,,
Adept,Alchemist,Burst Your Bubble,,,,,,
Adept,Alchemist,Ingenious Alchemist,,,,,,
Adept,Alchemist,Coral Creation,,,,,,
Adept,Alchemist,Bombs Away! Part 2,,,,,,
Adept,Alchemist,Bundle of Energy,,,,,,
Adept,Alchemist,Rejuvenation Salvation,,,,,,
Adept,Alchemist,Sovereign of the Sea,,,,,,
Adept,Alchemist,Charm Challenge,,,,,,
Adept,Alchemist,Bomb Batch,,,,,,
Expert,Alchemist,Healing Potion Nothing,,,,,,
Expert,Alchemist,Beastly Behavior,,,,,,
Expert,Alchemist,Power Play,,,,,,
Expert,Alchemist,Pièce de Résistance,,,,,,
Expert,Alchemist,Magic Machinations,,,,,,
Expert,Alchemist,Flask Formation,,,,,,
Expert,Alchemist,Industrious Alchemist,,,,,,
Expert,Alchemist,View Ado,,,,,,
Expert,Alchemist,Fashion Glasses,,,,,,
Expert,Alchemist,Rise of the Ruby,,,,,,
Expert,Alchemist,Sapphire Desire,,,,,,
Expert,Alchemist,Emerald Enthralled,,,,,,
Expert,Alchemist,Coral Exam,,,,,,
Expert,Alchemist,Accessory Treasury,,,,,,
Expert,Alchemist,Energy to the MAX!,,,,,,
Expert,Alchemist,Jewel Renewal,,,,,,
Master,Alchemist,Flasks Aflame,,,,,,
Master,Alchemist,Charge!,,,,,,
Master,Alchemist,Critical Damage,,,,,,
Master,Alchemist,Aid and Abet,,,,,,
Master,Alchemist,Framed!,,,,,,
Master,Alchemist,Frosty Flask,,,,,,
Master,Alchemist,Labor of Love,,,,,,
Master,Alchemist,Exalted Alchemist,,,,,,
Master,Alchemist,Elixir of Life,,,,,,
Master,Alchemist,Fly Eyewear,,,,,,
Master,Alchemist,Burst Your Bubble 2,,,,,,
Master,Alchemist,All's Fair in Love,,,,,,
Hero,Alchemist,Spray Away,,,,,,
Hero,Alchemist,Bombs Away! Part 3,,,,,,
Hero,Alchemist,Shady Character,,,,,,
Hero,Alchemist,Dark Arts & Crafts,,,,,,
Hero,Alchemist,Ring in the New,,,,,,
Hero,Alchemist,Contraband for Life,,,,,,
Hero,Alchemist,Awe-Inspiring Alchemist,,,,,,
Hero,Alchemist,Dare to Care,,,,,,
Hero,Alchemist,Philosopher's Stone,,,,,,
Creator,Alchemist,Cherubic Challenge,,,,,,DLC
Creator,Alchemist,Working Miracles,,,,,,DLC
Creator,Alchemist,Heavenly Blast,,,,,,DLC
Creator,Alchemist,Devil's Detonation,,,,,,DLC
Creator,Alchemist,Lucky Liquids,,,,,,DLC
Creator,Alchemist,Divine Intervention,,,,,,DLC
